,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Define the term Abnormal profit,explain the difference between macro economics and mirco economics,"if production of capital goods decreases from 26 to 15 units so that capital goods increases from 25 to 30 units, calculate the gain and opportunity cost"," Using real-world examples, discuss the limitations of the assumptions of rational consumer choice ",,,,,,,,,,,,,,,,,,
Define the term Absolute advantage,Explain the relationship between economics and scarcity,"Plot demand and supply curves from linear functions, and identify the equilibrium price and equilibrium quantity.","Using real-world examples, evaluate the assumptions of consumer rationality ",,,,,,,,,,,,,,,,,,
Define the term Absolute poverty,outline how physical capital differs from the other three factors of production,State the quantity of excess demand or excess supply in the above diagrams.,"Using real-world examples, discuss the use of behavioral economics",,,,,,,,,,,,,,,,,,
Define the term Abuse of market power,explain how scarcity and choice relate to opportunity cost,Identify the market equilibrium price and quantity of the market diagram below,"Using real-world examples, evaluate the impact of rule of thumb on consumer decision-making",,,,,,,,,,,,,,,,,,
Define the term Actual growth,explain the concept of opportunity cost,Draw a supply and demand diagram with excess supply/demand.,"Using real-world examples, discuss the effects of bounded rationality on consumer choices.
",,,,,,,,,,,,,,,,,,
Define the term Administrative barriers,explain the difference between a free good and an economic good,Draw a supply and demand diagram with consumer/producer surplus maximized at competitive market equilibrium,"Using real-world examples, discuss the impact of bounded self-control on consumer behavior and market outcomes.",,,,,,,,,,,,,,,,,,
Define the term Ad valorem taxes,Explain the different economic systems,Calculate consumer surplus and producer surplus from a diagram,"Using real-world examples, evaluate the influence of bounded selfishness on  consumer decisions.",,,,,,,,,,,,,,,,,,
Define the term Adverse selection,explain the difference between increasing versus constant opportunity cost,The price of cigarettes has increased by 15% and the quantity demanded has decreased by 5%. Calculate the PED. ,"Using real-world examples, discuss the consequences of imperfect information on market efficiency.
",,,,,,,,,,,,,,,,,,
Define the term Aggregate demand (AD),explain the assumptions of the PPC model,"Using the given values in the figure above, calculate the price elasticity of demand ","Using real-world examples, evaluate the effectiveness of default choices in improving consumer outcomes.",,,,,,,,,,,,,,,,,,
Define the term Aggregate demand curve,  explain the difference beween increasing versus contant opportunity cost,Draw the diagram for a PED with a value of 1,"Using real-world examples, discuss the effectiveness of nudge theory 
",,,,,,,,,,,,,,,,,,
Define the term Aggregate supply (AS),"using a diagram, distinguish between actual growth and growth in production possibilities",Draw the diagram for an estimate of the PED of insulin,"Using real-world examples, discuss why businesses may not be restricted to the objective of profit maximization.",,,,,,,,,,,,,,,,,,
Define the term Aggregate supply curve,explain the difference between an open and closed economy,"Using a diagram, show the PED of a good with many subsitutes.","Using real-world examples, discuss the effectiveness of corporate social responsibility on a firm's growth
",,,,,,,,,,,,,,,,,,
Define the term Alternative business objectives,"using a diagram, explain how the three pairs of leakages and injections are linked together",Draw the diagram for a PED that is perfectly inelastic ,"Using real-world examples, evaluate the significance of market share as a business objective",,,,,,,,,,,,,,,,,,
Define the term Allocative efficiency,"Using a supply and demand diagram, explain the assumptions made underneath the law of supply",Draw the diagram for the Price Elasticity of Demand for a primary commodity (AO3) Draw the diagram for the Price Elasticity of Demand for a manufactured good (AO3),"Using real-world examples, discuss the effects of satisficing on profit maximization",,,,,,,,,,,,,,,,,,
